รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท30101,ภาษาไทยเพื่อการสื่อสาร 1,1.00,25.00,32.00,8.00,15.00,80.00,80.00,35.00,35.00,10.00,20.00,100.00,4,,,4,
ค30101,คณิตศาสตร์ 1,1.50,11.00,35.00,14.00,16.00,76.00,76.00,15.00,35.00,20.00,30.00,100.00,3.5,,,3.5,
ค30102,คณิตศาสตร์ 2,2.00,20.50,20.50,14.00,15.00,70.00,70.00,25.00,25.00,20.00,30.00,100.00,3,,,3,
ว30101,ฟิสิกส์พื้นฐาน,1.50,27.00,29.00,14.00,5.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว30121,เคมีพื้นฐาน,1.50,24.60,15.50,17.00,16.30,73.40,73.40,30.00,20.00,20.00,30.00,100.00,3,,,3,
ว30141,พื้นฐานของสิ่งมีชีวิต,1.50,28.00,20.00,14.00,9.50,71.50,71.50,30.00,25.00,20.00,25.00,100.00,3,,,3,
ว30181,วิทยาการคอมพิวเตอร์เบื้องต้น,1.00,24.00,30.00,18.00,8.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30182,การออกแบบและพื้นฐานทางวิศวกรรมศาสตร์,1.00,30.00,30.00,15.00,20.00,95.00,95.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ส30101,ศาสนศึกษาและหลักธรรมสำหรับชีวิต,1.00,20.00,20.00,21.00,23.00,84.00,84.00,20.00,20.00,30.00,30.00,100.00,4,,,4,
พ30101,สุขศึกษาและพลศึกษา 1,0.50,19.00,24.00,26.00,13.00,82.00,82.00,20.00,30.00,30.00,20.00,100.00,4,,,4,
ศ30101,ทัศนศิลป์,0.50,34.00,28.00,10.00,8.00,80.00,80.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ30101,ภาษาอังกฤษพื้นฐาน 1,2.00,24.00,24.60,14.00,13.40,76.00,76.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว30209,คณิตศาสตร์สำหรับฟิสิกส์,1.00,28.00,29.00,14.00,14.00,85.00,85.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30283,การสืบเสาะและธรรมชาติทาง         วิทยาศาสตร์,1.00,24.00,27.00,19.00,16.00,86.00,86.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ก31931,กิจกรรมชุมนุม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31932,ค่ายวิชาการ,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31934,อ่านหนังสือที่โรงเรียนกำหนด,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31936,ศึกษาดูงานนอกสถานที่,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31937,ออกกำลังกายและเล่นกีฬา,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31938,พบครูที่ปรึกษาประจำชั้น,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
